Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athènes,Clôture,Clôture, Telemachos Karakalos,Grèce,Men,Sabre individuel,Argent
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,Barre horizontale,Or
1896,Athènes,Gymnastique,G. Artistique, Alfred Flatow,Allemagne,Men,Barre horizontale,Argent
1896,Athènes,Gymnastique,G. Artistique, Alfred Flatow,Allemagne,Men,Barres parallèles,Or
1896,Athènes,Gymnastique,G. Artistique, Louis Zutter,Suisse,Men,Barres parallèles,Argent
1896,Athènes,Gymnastique,G. Artistique, Louis Zutter,Suisse,Men,Cheval d'arçon,Or
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,Cheval d'arçon,Argent
1896,Athènes,Gymnastique,G. Artistique, Petros Persakis,Grèce,Men,Bagues,Bronze
1896,Athènes,Gymnastique,G. Artistique, Ioannis Mitropoulos,Grèce,Men,Bagues,Or
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,Bagues,Argent
1896,Athènes,Gymnastique,G. Artistique, Fritz Hofmann,Allemagne,Men,Escalade sur corde,Bronze
1896,Athènes,Gymnastique,G. Artistique, Nicolaos Andriakopoulos,Grèce,Men,Escalade sur corde,Or
1896,Athènes,Gymnastique,G. Artistique, Thomasios Xenakis,Grèce,Men,Escalade sur corde,Argent
1896,Athènes,Gymnastique,G. Artistique, Konrad Böcker,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Alfred Flatow,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Gustav Felix Flatow,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Georg Hilmar,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Fritz Hofmann,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Fritz Manteuffel,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Karl Neukirch,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Richard Röstel,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Gustav Schuft,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Carl Schumann,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,"Équipe, barre horizontale",Or
1896,Athènes,Gymnastique,G. Artistique, Ioannis Chrysaphis,Grèce,Men,"Équipe, barres parallèles",Bronze
1896,Athènes,Gymnastique,G. Artistique, Phillippos Karvelas,Grèce,Men,"Équipe, barres parallèles",Bronze
1896,Athènes,Gymnastique,G. Artistique, Dimitrios Loundras,Grèce,Men,"Équipe, barres parallèles",Bronze
1896,Athènes,Gymnastique,G. Artistique, Ioannis Mitropoulos,Grèce,Men,"Équipe, barres parallèles",Bronze
1896,Athènes,Gymnastique,G. Artistique, Konrad Böcker,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Alfred Flatow,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Gustav Felix Flatow,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Georg Hilmar,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Fritz Hofmann,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Fritz Manteuffel,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Karl Neukirch,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Richard Röstel,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Gustav Schuft,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Carl Schumann,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,"Équipe, barres parallèles",Or
1896,Athènes,Gymnastique,G. Artistique, Nicolaos Andriakopoulos,Grèce,Men,"Équipe, barres parallèles",Argent
1896,Athènes,Gymnastique,G. Artistique, Spyros Athanasopoulos,Grèce,Men,"Équipe, barres parallèles",Argent
1896,Athènes,Gymnastique,G. Artistique, Petros Persakis,Grèce,Men,"Équipe, barres parallèles",Argent
1896,Athènes,Gymnastique,G. Artistique, Thomasios Xenakis,Grèce,Men,"Équipe, barres parallèles",Argent
1896,Athènes,Gymnastique,G. Artistique, Hermann Weingärtner,Allemagne,Men,Chambre forte,Bronze
1896,Athènes,Gymnastique,G. Artistique, Carl Schumann,Allemagne,Men,Chambre forte,Or
1896,Athènes,Gymnastique,G. Artistique, Louis Zutter,Suisse,Men,Chambre forte,Argent
1896,Athènes,Tirer,Tirer, Nikolaos Morakis,Grèce,Men,Pistolet de l'armée 25M,Bronze
1896,Athènes,Tirer,Tirer, John Paine,États-Unis,Men,Pistolet de l'armée 25M,Or
1896,Athènes,Tirer,Tirer, Sumner Paine,États-Unis,Men,Pistolet de l'armée 25M,Argent
1896,Athènes,Tirer,Tirer, Holger Nielsen,Danemark,Men,Pistolet à tir rapide 25M (60 tirs),Bronze
1896,Athènes,Tirer,Tirer, Joannis Phrangoudis,Grèce,Men,Pistolet à tir rapide 25M (60 tirs),Or
1896,Athènes,Tirer,Tirer, Georgios Orphanidis,Grèce,Men,Pistolet à tir rapide 25M (60 tirs),Argent
1896,Athènes,Tirer,Tirer, Joannis Phrangoudis,Grèce,Men,Pistolet 50M (60 tirs),Bronze
1896,Athènes,Tirer,Tirer, Sumner Paine,États-Unis,Men,Pistolet 50M (60 tirs),Or
1896,Athènes,Tirer,Tirer, Holger Nielsen,Danemark,Men,Pistolet 50M (60 tirs),Argent
1896,Athènes,Tirer,Tirer, Nicolaos Trikupis,Grèce,Men,"Fusil d'assaut, 200M",Bronze
1896,Athènes,Tirer,Tirer, Pantelis Karasevdas,Grèce,Men,"Fusil d'assaut, 200M",Or
1896,Athènes,Tirer,Tirer, Pavlos Pavlidis,Grèce,Men,"Fusil d'assaut, 200M",Argent
1896,Athènes,Tirer,Tirer, Viggo Jensen,Danemark,Men,"Fusil de l'armée, 300M",Bronze
1896,Athènes,Tirer,Tirer, Georgios Orphanidis,Grèce,Men,"Fusil de l'armée, 300M",Or
1896,Athènes,Tirer,Tirer, Joannis Phrangoudis,Grèce,Men,"Fusil de l'armée, 300M",Argent
1896,Athènes,Tennis,Tennis, Edwin Flack,Equipe mixte aux Jeux Olympiques,Men,Doubles,Bronze
1896,Athènes,Tennis,Tennis, George Stuart Robertson,Equipe mixte aux Jeux Olympiques,Men,Doubles,Bronze
1896,Athènes,Tennis,Tennis, John Boland,Equipe mixte aux Jeux Olympiques,Men,Doubles,Or
1896,Athènes,Tennis,Tennis, Friedrich Traun,Equipe mixte aux Jeux Olympiques,Men,Doubles,Or
1896,Athènes,Tennis,Tennis, Dionysios Kasdaglis,Equipe mixte aux Jeux Olympiques,Men,Doubles,Argent
1896,Athènes,Tennis,Tennis, Demetrios Petrokokkinos,Equipe mixte aux Jeux Olympiques,Men,Doubles,Argent
1896,Athènes,Tennis,Tennis, Konstantinos Paspatis,Grèce,Men,Célibataires,Bronze
1896,Athènes,Tennis,Tennis, Momcsillo Tapavicza,Hongrie,Men,Célibataires,Bronze
1896,Athènes,Tennis,Tennis, John Boland,Royaume-Uni,Men,Célibataires,Or
1896,Athènes,Tennis,Tennis, Dionysios Kasdaglis,Grèce,Men,Célibataires,Argent
1896,Athènes,Haltérophilie,Haltérophilie, Alexandros Nikolopoulos,Grèce,Men,Poids lourd - Levée d'une main,Bronze
1896,Athènes,Haltérophilie,Haltérophilie, Launceston Elliott,Royaume-Uni,Men,Poids lourd - Levée d'une main,Or
1896,Athènes,Haltérophilie,Haltérophilie, Viggo Jensen,Danemark,Men,Poids lourd - Levée d'une main,Argent
1896,Athènes,Haltérophilie,Haltérophilie, Sotirios Versis,Grèce,Men,Poids lourd - Levée à deux mains,Bronze
1896,Athènes,Haltérophilie,Haltérophilie, Viggo Jensen,Danemark,Men,Poids lourd - Levée à deux mains,Or
1896,Athènes,Haltérophilie,Haltérophilie, Launceston Elliott,Royaume-Uni,Men,Poids lourd - Levée à deux mains,Argent
1896,Athènes,Lutte,Lutte Gre-R, Stephanos Christopoulos,Grèce,Men,Evénement ouvert,Bronze
1896,Athènes,Lutte,Lutte Gre-R, Carl Schumann,Allemagne,Men,Evénement ouvert,Or
1896,Athènes,Lutte,Lutte Gre-R, Georgios Tsitas,Grèce,Men,Evénement ouvert,Argent
1900,Paris,Aquatique,Baignade, Zoltan Halmay,Hongrie,Men,1500M Nage libre,Bronze
1900,Paris,Aquatique,Baignade, John Arthur Jarvis,Royaume-Uni,Men,1500M Nage libre,Or
1900,Paris,Aquatique,Baignade, Otto Wahle,Autriche,Men,1500M Nage libre,Argent
1900,Paris,Aquatique,Baignade, Johannes Drost,Pays-Bas,Men,200M dos,Bronze
1900,Paris,Aquatique,Baignade, Ernst Hoppenberg,Allemagne,Men,200M dos,Or
1900,Paris,Aquatique,Baignade, Karl Ruberl,Autriche,Men,200M dos,Argent
1900,Paris,Aquatique,Baignade, Karl Ruberl,Autriche,Men,200M nage libre,Bronze
1900,Paris,Aquatique,Baignade, Frederick C.V. Lane,Australie,Men,200M nage libre,Or
1900,Paris,Aquatique,Baignade, Zoltan Halmay,Hongrie,Men,200M nage libre,Argent
1900,Paris,Aquatique,Baignade, Peter Kemp,Royaume-Uni,Men,200M épreuve d'obstacles,Bronze
1900,Paris,Aquatique,Baignade, Frederick C.V. Lane,Australie,Men,200M épreuve d'obstacles,Or
1900,Paris,Aquatique,Baignade, Otto Wahle,Autriche,Men,200M épreuve d'obstacles,Argent
1900,Paris,Aquatique,Baignade,Houben,France,Men,200M natation par équipe,Bronze
1900,Paris,Aquatique,Baignade, Jean Leuillieux,France,Men,200M natation par équipe,Bronze
1900,Paris,Aquatique,Baignade, Louis Martin,France,Men,200M natation par équipe,Bronze
1900,Paris,Aquatique,Baignade, Désiré Merchez,France,Men,200M natation par équipe,Bronze
1900,Paris,Aquatique,Baignade,Tartara,France,Men,200M natation par équipe,Bronze
1900,Paris,Aquatique,Baignade, Julius Frey,Allemagne,Men,200M natation par équipe,Or
1900,Paris,Aquatique,Baignade, Max Hainle,Allemagne,Men,200M natation par équipe,Or
1900,Paris,Aquatique,Baignade, Ernst Hoppenberg,Allemagne,Men,200M natation par équipe,Or
1900,Paris,Aquatique,Baignade, Max Schöne,Allemagne,Men,200M natation par équipe,Or
1900,Paris,Aquatique,Baignade, Herbert Von Petersdorff,Allemagne,Men,200M natation par équipe,Or
1900,Paris,Aquatique,Baignade,Bertrand,France,Men,200M natation par équipe,Argent
1900,Paris,Aquatique,Baignade,Cadet,France,Men,200M natation par équipe,Argent
1900,Paris,Aquatique,Baignade, Maurice Hochepied,France,Men,200M natation par équipe,Argent
1900,Paris,Aquatique,Baignade, Victor Hochepied,France,Men,200M natation par équipe,Argent
1900,Paris,Aquatique,Baignade,Verbecke,France,Men,200M natation par équipe,Argent
1900,Paris,Aquatique,Baignade, Louis Martin,France,Men,4000M Nage libre,Bronze
1900,Paris,Aquatique,Baignade, John Arthur Jarvis,Royaume-Uni,Men,4000M Nage libre,Or
1900,Paris,Aquatique,Baignade, Zoltan Halmay,Hongrie,Men,4000M Nage libre,Argent
1900,Paris,Aquatique,Baignade, Peder Lykkeberg,Danemark,Men,Nage sous-marine,Bronze
1900,Paris,Aquatique,Baignade, Charles De Vendeville,France,Men,Nage sous-marine,Or
1900,Paris,Aquatique,Baignade, André Six,France,Men,Nage sous-marine,Argent
1900,Paris,Aquatique,Water polo, Thomas Burgess,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Coulon,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Alphonse Decuyper,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Devenot,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Fardelle,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Favier,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Louis Laufray,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Leriche,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Louis Martin,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Désiré Merchez,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Henri Peslier,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo,Pesloy,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Charles Treffel,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Paul Vasseur,France,Men,Water Polo,Bronze
1900,Paris,Aquatique,Water polo, Thomas Coe,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, John Henry Derbyshire,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, Peter Kemp,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, William Lister,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, Arthur Robertson,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, Eric Robinson,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, George Wilkinson,Royaume-Uni,Men,Water Polo,Or
1900,Paris,Aquatique,Water polo, Henri Cohen,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Jean De Backer,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Victor De Behr,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Fernand Feyaerts,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Oscar Gregoire,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Albert Michant,Belgique,Men,Water Polo,Argent
1900,Paris,Aquatique,Water polo, Victor Sonnemans,Belgique,Men,Water Polo,Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Charles Frédéric Petit,France,Men,"Au Chapelet, 33M",Bronze
1900,Paris,Tir à l'arc,Tir à l'arc, Hubert Van Innis,Belgique,Men,"Au Chapelet, 33M",Or
1900,Paris,Tir à l'arc,Tir à l'arc, Victor Thibaud,France,Men,"Au Chapelet, 33M",Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Emile Mercier,France,Men,"Au Chapelet, 50M",Bronze
1900,Paris,Tir à l'arc,Tir à l'arc, Eugène Mougin,France,Men,"Au Chapelet, 50M",Or
1900,Paris,Tir à l'arc,Tir à l'arc, Henri Helle,France,Men,"Au Chapelet, 50M",Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Charles Frédéric Petit,France,Men,"Au Cordon Doré, 33M",Bronze
1900,Paris,Tir à l'arc,Tir à l'arc, Hubert Van Innis,Belgique,Men,"Au Cordon Doré, 33M",Or
1900,Paris,Tir à l'arc,Tir à l'arc, Victor Thibaud,France,Men,"Au Cordon Doré, 33M",Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Emile Fisseux,France,Men,"Au Cordon Doré, 50M",Bronze
1900,Paris,Tir à l'arc,Tir à l'arc, Henri Herouin,France,Men,"Au Cordon Doré, 50M",Or
1900,Paris,Tir à l'arc,Tir à l'arc, Hubert Van Innis,Belgique,Men,"Au Cordon Doré, 50M",Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Emmanuel Foulon,Belgique,Men,Sur La Perche À La Herse,Or
1900,Paris,Tir à l'arc,Tir à l'arc, Jr. Druart,Belgique,Men,Sur La Perche À La Herse,Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Auguste Serrurier,France,Men,Sur La Perche À La Herse,Argent
1900,Paris,Tir à l'arc,Tir à l'arc, Louis Glineux,Belgique,Men,Sur La Perche À La Pyramide,Bronze
1900,Paris,Tir à l'arc,Tir à l'arc, Emile Grumiaux,France,Men,Sur La Perche À La Pyramide,Or
1900,Paris,Tir à l'arc,Tir à l'arc, Auguste Serrurier,France,Men,Sur La Perche À La Pyramide,Argent
1900,Paris,Athlétisme,Athlétisme, Stanley Rowley,Australie,Men,100M,Bronze
1900,Paris,Athlétisme,Athlétisme, Francis Jarvis,États-Unis,Men,100M,Or
1900,Paris,Athlétisme,Athlétisme, Walter B. John Tewksbury,États-Unis,Men,100M,Argent
1900,Paris,Athlétisme,Athlétisme, Frederick Moloney,États-Unis,Men,110M haies,Bronze
1900,Paris,Athlétisme,Athlétisme, Alvin Kraenzlein,États-Unis,Men,110M haies,Or
1900,Paris,Athlétisme,Athlétisme, John Mclean,États-Unis,Men,110M haies,Argent
1900,Paris,Athlétisme,Athlétisme, John Bray,États-Unis,Men,1500M,Bronze
1900,Paris,Athlétisme,Athlétisme, Charles Bennett,Royaume-Uni,Men,1500M,Or
1900,Paris,Athlétisme,Athlétisme, Henri Deloge,France,Men,1500M,Argent
1900,Paris,Athlétisme,Athlétisme, Stanley Rowley,Australie,Men,200M,Bronze
1900,Paris,Athlétisme,Athlétisme, Walter B. John Tewksbury,États-Unis,Men,200M,Or
1900,Paris,Athlétisme,Athlétisme, Norman Pritchard,Inde,Men,200M,Argent
1900,Paris,Athlétisme,Athlétisme, Walter B. John Tewksbury,États-Unis,Men,200M haies,Bronze
1900,Paris,Athlétisme,Athlétisme, Alvin Kraenzlein,États-Unis,Men,200M haies,Or
1900,Paris,Athlétisme,Athlétisme, Norman Pritchard,Inde,Men,200M haies,Argent
1900,Paris,Athlétisme,Athlétisme, Jacques Chastanie,France,Men,3000M Steeplechase,Bronze
1900,Paris,Athlétisme,Athlétisme, George Orton,Canada,Men,3000M Steeplechase,Or
1900,Paris,Athlétisme,Athlétisme, Sidney Robinson,Royaume-Uni,Men,3000M Steeplechase,Argent
1900,Paris,Athlétisme,Athlétisme, Sidney Robinson,Royaume-Uni,Men,4000M Steeplechase,Bronze
1900,Paris,Athlétisme,Athlétisme, John Rimmer,Royaume-Uni,Men,4000M Steeplechase,Or
1900,Paris,Athlétisme,Athlétisme, Charles Bennett,Royaume-Uni,Men,4000M Steeplechase,Argent
1900,Paris,Athlétisme,Athlétisme, Ernst Schultz,Danemark,Men,400M,Bronze
1900,Paris,Athlétisme,Athlétisme, Maxwell W.Maxey Long,États-Unis,Men,400M,Or
1900,Paris,Athlétisme,Athlétisme, William Holland,États-Unis,Men,400M,Argent
1900,Paris,Athlétisme,Athlétisme, George Orton,Canada,Men,400M Haies,Bronze
1900,Paris,Athlétisme,Athlétisme, Walter B. John Tewksbury,États-Unis,Men,400M Haies,Or
1900,Paris,Athlétisme,Athlétisme, Henri Tauzin,France,Men,400M Haies,Argent
1900,Paris,Athlétisme,Athlétisme, Charles Bennett,Equipe mixte aux Jeux Olympiques,Men,Équipe 5000M,Or
1900,Paris,Athlétisme,Athlétisme, John Rimmer,Equipe mixte aux Jeux Olympiques,Men,Équipe 5000M,Or
1900,Paris,Athlétisme,Athlétisme, Sidney Robinson,Equipe mixte aux Jeux Olympiques,Men,Équipe 5000M,Or
1900,Paris,Athlétisme,Athlétisme, Stanley Rowley,Equipe mixte aux Jeux Olympiques,Men,Équipe 5000M,Or
1900,Paris,Athlétisme,Athlétisme, Alfred Tysoe,Equipe mixte aux Jeux Olympiques,Men,Équipe 5000M,Or
1900,Paris,Athlétisme,Athlétisme, André Castanet,France,Men,Équipe 5000M,Argent
1900,Paris,Athlétisme,Athlétisme, Michel Champoudry,France,Men,Équipe 5000M,Argent
1900,Paris,Athlétisme,Athlétisme, Jacques Chastanie,France,Men,Équipe 5000M,Argent
1900,Paris,Athlétisme,Athlétisme, Henri Deloge,France,Men,Équipe 5000M,Argent
1900,Paris,Athlétisme,Athlétisme, Gaston Ragueneau,France,Men,Équipe 5000M,Argent
1900,Paris,Athlétisme,Athlétisme, Stanley Rowley,Australie,Men,60M,Bronze
1900,Paris,Athlétisme,Athlétisme, Alvin Kraenzlein,États-Unis,Men,60M,Or
1900,Paris,Athlétisme,Athlétisme, Walter B. John Tewksbury,États-Unis,Men,60M,Argent
1900,Paris,Athlétisme,Athlétisme, David Hall,États-Unis,Men,800M,Bronze
