Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Hockey sur glace,Hockey sur glace, Ross George Cuthbert,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, George Holmes,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Hamilton Jukes,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, B.-N. Patton,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Edward Pitblado,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Blane Nathaniel Sexton,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Jack Cameron,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Ernest J. Collett,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Albert Mac Caffery,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Harold Mac Munn,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Duncan Munro,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, W.-Beattie Ramsay,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Cyril Slater,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Reginald Smith,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Harry Watson,Canada,Men,Hockey sur glace,Or
1924,Chamonix,Hockey sur glace,Hockey sur glace, Clarence John Abel,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Herbert L. Drury,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, N. Geran,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Alphonse Lacroix,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, John Arthur Langley,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, John Sharkey Lyons,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Justin Mac Carthy,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Willard Rice,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Irving Wheeler Small,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, Francis Allen Synnott,États-Unis,Men,Hockey sur glace,Argent
1924,Chamonix,Patinage,Patinage artistique, Georges Gautschi,Suisse,Men,Individuel,Bronze
1924,Chamonix,Patinage,Patinage artistique, Gillis Grafström,Suède,Men,Individuel,Or
1924,Chamonix,Patinage,Patinage artistique, Willy Böckl,Autriche,Men,Individuel,Argent
1924,Chamonix,Patinage,Patinage artistique, Ethel Muckelt,Royaume-Uni,Women,Individuel,Bronze
1924,Chamonix,Patinage,Patinage artistique, Herma Szabo-Plank,Autriche,Women,Individuel,Or
1924,Chamonix,Patinage,Patinage artistique, Beatrix Loughran,États-Unis,Women,Individuel,Argent
1924,Chamonix,Patinage,Patinage artistique, Andrée Brunet,France,Women,Paires,Bronze
1924,Chamonix,Patinage,Patinage artistique, Pierre Brunet,France,Men,Paires,Bronze
1924,Chamonix,Patinage,Patinage artistique, Alfred Berger,Autriche,Men,Paires,Or
1924,Chamonix,Patinage,Patinage artistique, Helene Engelmann,Autriche,Women,Paires,Or
1924,Chamonix,Patinage,Patinage artistique, Ludowika Jakobsson,Finlande,Women,Paires,Argent
1924,Chamonix,Patinage,Patinage artistique, Walter Jakobsson,Finlande,Men,Paires,Argent
1924,Chamonix,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,10000M,Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Julius Skutnabb,Finlande,Men,10000M,Or
1924,Chamonix,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,10000M,Argent
1924,Chamonix,Patinage,Patinage de vitesse, Sigurd Moen,Norvège,Men,1500M,Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,1500M,Or
1924,Chamonix,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,1500M,Argent
1924,Chamonix,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,5000M,Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,5000M,Or
1924,Chamonix,Patinage,Patinage de vitesse, Julius Skutnabb,Finlande,Men,5000M,Argent
1924,Chamonix,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,500M,Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,500M,Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Charles Jewtraw,États-Unis,Men,500M,Or
1924,Chamonix,Patinage,Patinage de vitesse, Oskar Olsen,Norvège,Men,500M,Argent
1924,Chamonix,Patinage,Patinage de vitesse, Julius Skutnabb,Finlande,Men,Combiné (4 épreuves),Bronze
1924,Chamonix,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,Combiné (4 épreuves),Or
1924,Chamonix,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,Combiné (4 épreuves),Argent
1924,Chamonix,Ski,Ski de fond, Tapani Niku,Finlande,Men,18KM,Bronze
1924,Chamonix,Ski,Ski de fond, Thorleif Haug,Norvège,Men,18KM,Or
1924,Chamonix,Ski,Ski de fond, Johan Grottumsbraaten,Norvège,Men,18KM,Argent
1924,Chamonix,Ski,Ski de fond, Johan Grottumsbraaten,Norvège,Men,50KM,Bronze
1924,Chamonix,Ski,Ski de fond, Thorleif Haug,Norvège,Men,50KM,Or
1924,Chamonix,Ski,Ski de fond, Thoralf Strömstad,Norvège,Men,50KM,Argent
1924,Chamonix,Ski,Combiné nordique, Johan Grottumsbraaten,Norvège,Men,Individuel,Bronze
1924,Chamonix,Ski,Combiné nordique, Thorleif Haug,Norvège,Men,Individuel,Or
1924,Chamonix,Ski,Combiné nordique, Thoralf Strömstad,Norvège,Men,Individuel,Argent
1924,Chamonix,Ski,Saut à ski, Anders Haugen,États-Unis,Men,K90 Individual (70M),Bronze
1924,Chamonix,Ski,Saut à ski, Jacob Tullin Thams,Norvège,Men,K90 Individual (70M),Or
1924,Chamonix,Ski,Saut à ski, Narve Bonna,Norvège,Men,K90 Individual (70M),Argent
1928,St.Moritz,Bobsleigh,Bobsleigh, Hans Hess,Allemagne,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh, Sebastian Huber,Allemagne,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh, Hanns Kilian,Allemagne,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh, Valentin Krempl,Allemagne,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh, Hanns Nägle,Allemagne,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh, William Fiske,États-Unis,Men,Five-Man,Or
1928,St.Moritz,Bobsleigh,Bobsleigh, Clifford Barton Gray,États-Unis,Men,Five-Man,Or
1928,St.Moritz,Bobsleigh,Bobsleigh, Geoffrey Travers Mason,États-Unis,Men,Five-Man,Or
1928,St.Moritz,Bobsleigh,Bobsleigh, Richard Parke,États-Unis,Men,Five-Man,Or
1928,St.Moritz,Bobsleigh,Bobsleigh, Nion Tucker,États-Unis,Men,Five-Man,Or
1928,St.Moritz,Bobsleigh,Bobsleigh, Thomas Doe,États-Unis,Men,Five-Man,Argent
1928,St.Moritz,Bobsleigh,Bobsleigh, David Granger,États-Unis,Men,Five-Man,Argent
1928,St.Moritz,Bobsleigh,Bobsleigh, Jennison Heaton,États-Unis,Men,Five-Man,Argent
1928,St.Moritz,Bobsleigh,Bobsleigh, Lyman Hine,États-Unis,Men,Five-Man,Argent
1928,St.Moritz,Bobsleigh,Bobsleigh, Jay James O'Brien,États-Unis,Men,Five-Man,Argent
1928,St.Moritz,Bobsleigh,Squelette, David Northesk,Royaume-Uni,Men,Individuel,Bronze
1928,St.Moritz,Bobsleigh,Squelette, Jennison Heaton,États-Unis,Men,Individuel,Or
1928,St.Moritz,Bobsleigh,Squelette, John Heaton,États-Unis,Men,Individuel,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Giannin Andreossi,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Mezzi Andreossi,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Robert Breiter,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Louis Dufour,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Charles Fasel,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Albert Geromini,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Fritz Kraatz,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Arnold Martignoni,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Heini Meng,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Anton Morosani,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Luzius Rüedi,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Richard Torriani,Suisse,Men,Hockey sur glace,Bronze
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Charles Delahay,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Franlyn Wood Fisher,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Henry Louis Hudson,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Norbert Edward Mueller,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Herbert Alfred Plaxton,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Hugh John Plaxton,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Rogers Hayward Plaxton,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, John Chester Porter,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Frank Gerald Sullivan,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Joseph Taylor Sullivan,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Ross Croft Taylor,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, David Trottier,Canada,Men,Hockey sur glace,Or
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Carl Abrahamsson,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Emil Bergman,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Birger Holmqvist,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Gustaf Johansson,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Henry Johansson,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Nils Johansson,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Ernst Karlberg,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Erik Larsson,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Bertil Linde,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Sigfrid Öberg,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Wilhelm Petersen,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Hockey sur glace,Hockey sur glace, Kurt Sucksdorff,Suède,Men,Hockey sur glace,Argent
1928,St.Moritz,Patinage,Patinage artistique, Robert Van Zeebroeck,Belgique,Men,Individuel,Bronze
1928,St.Moritz,Patinage,Patinage artistique, Gillis Grafström,Suède,Men,Individuel,Or
1928,St.Moritz,Patinage,Patinage artistique, Willy Böckl,Autriche,Men,Individuel,Argent
1928,St.Moritz,Patinage,Patinage artistique, Beatrix Loughran,États-Unis,Women,Individuel,Bronze
1928,St.Moritz,Patinage,Patinage artistique, Sonja Henie,Norvège,Women,Individuel,Or
1928,St.Moritz,Patinage,Patinage artistique, Fritzi Burger,Autriche,Women,Individuel,Argent
1928,St.Moritz,Patinage,Patinage artistique, Melitta Brunner,Autriche,Women,Paires,Bronze
1928,St.Moritz,Patinage,Patinage artistique, Ludwig Wrede,Autriche,Men,Paires,Bronze
1928,St.Moritz,Patinage,Patinage artistique, Andrée Brunet,France,Women,Paires,Or
1928,St.Moritz,Patinage,Patinage artistique, Pierre Brunet,France,Men,Paires,Or
1928,St.Moritz,Patinage,Patinage artistique, Otto Kaiser,Autriche,Men,Paires,Argent
1928,St.Moritz,Patinage,Patinage artistique, Lilly Scholz,Autriche,Women,Paires,Argent
1928,St.Moritz,Patinage,Patinage de vitesse, Ivar Ballangrud,Norvège,Men,1500M,Bronze
1928,St.Moritz,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,1500M,Or
1928,St.Moritz,Patinage,Patinage de vitesse, Bernt Evensen,Norvège,Men,1500M,Argent
1928,St.Moritz,Patinage,Patinage de vitesse, Bernt Evensen,Norvège,Men,5000M,Bronze
1928,St.Moritz,Patinage,Patinage de vitesse, Ivar Ballangrud,Norvège,Men,5000M,Or
1928,St.Moritz,Patinage,Patinage de vitesse, Julius Skutnabb,Finlande,Men,5000M,Argent
1928,St.Moritz,Patinage,Patinage de vitesse, Jaakko Friman,Finlande,Men,500M,Bronze
1928,St.Moritz,Patinage,Patinage de vitesse, Roald Larsen,Norvège,Men,500M,Bronze
1928,St.Moritz,Patinage,Patinage de vitesse, John O Farrell,États-Unis,Men,500M,Bronze
1928,St.Moritz,Patinage,Patinage de vitesse, Clas Thunberg,Finlande,Men,500M,Or
1928,St.Moritz,Patinage,Patinage de vitesse, Bernt Evensen,Norvège,Men,500M,Or
1928,St.Moritz,Ski,Ski de fond, Reidar Ödegaard,Norvège,Men,18KM,Bronze
1928,St.Moritz,Ski,Ski de fond, Johan Grottumsbraaten,Norvège,Men,18KM,Or
1928,St.Moritz,Ski,Ski de fond, Ole Hegge,Norvège,Men,18KM,Argent
1928,St.Moritz,Ski,Ski de fond, Volger Andersson,Suède,Men,50KM,Bronze
1928,St.Moritz,Ski,Ski de fond, Per Erik Hedlund,Suède,Men,50KM,Or
1928,St.Moritz,Ski,Ski de fond, Gustav Jonsson,Suède,Men,50KM,Argent
1928,St.Moritz,Ski,Combiné nordique, John Snersrud,Norvège,Men,Individuel,Bronze
1928,St.Moritz,Ski,Combiné nordique, Johan Grottumsbraaten,Norvège,Men,Individuel,Or
1928,St.Moritz,Ski,Combiné nordique, Hans Vinjarengen,Norvège,Men,Individuel,Argent
1928,St.Moritz,Ski,Saut à ski, Rudolf Burkert,Tchécoslovaquie,Men,K90 Individual (70M),Bronze
1928,St.Moritz,Ski,Saut à ski, Alf Andersen,Norvège,Men,K90 Individual (70M),Or
1928,St.Moritz,Ski,Saut à ski, Sigmund Ruud,Norvège,Men,K90 Individual (70M),Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Albert Brehme,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Fritz Grau,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Helmut Hopmann,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Sebastian Huber,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Werner Huth,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Hanns Kilian,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Rudolf Krotki,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Max Ludwig,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Hans Mehlhhorn,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Heinrich Rossner,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Werner Zahn,Allemagne,Men,Quatre hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Edward Eagan,États-Unis,Men,Quatre hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, William Fiske,États-Unis,Men,Quatre hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, Clifford Barton Gray,États-Unis,Men,Quatre hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, Jay James O'Brien,États-Unis,Men,Quatre hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, J. Hubert Stevens,États-Unis,Men,Quatre hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, Albert Ashforth,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Precy D. Bryant,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Hunter Goodrich,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Clement Hackney,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Henry A. Homburger,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Edmund C Horton,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Howard S Lipson,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Harry G Martin,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Curtis Stevens,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Francis Paul Stevens,États-Unis,Men,Quatre hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Precy D. Bryant,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, John Heaton,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Henry A. Homburger,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Harry G Martin,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Robert Minton,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, J. Hubert Stevens,États-Unis,Men,Deux hommes,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh, Adams Arthur,États-Unis,Men,Deux hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, Curtis Stevens,États-Unis,Men,Deux hommes,Or
1932,Lake Placid,Bobsleigh,Bobsleigh, Reto Capadrutt,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Gaston Fonjallaz,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Gustave Fonjallaz,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, René Fonjallaz,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Oscar Geier,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Charles Jenny,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, Antoine Kloetta,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Bobsleigh,Bobsleigh, William Stauffer,Suisse,Men,Deux hommes,Argent
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Rudolf Ball,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Alfred Heinrich,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Erich Herker,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Gustav Jänecke,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Werner Korff,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Walter Leinweber,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Erich Römer,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Martin Schröttle,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Marquardt Slevogt,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Georg Strobl,Allemagne,Men,Hockey sur glace,Bronze
1932,Lake Placid,Hockey sur glace,Hockey sur glace, William George Cockburn,Canada,Men,Hockey sur glace,Or
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Clifford Crowley,Canada,Men,Hockey sur glace,Or
1932,Lake Placid,Hockey sur glace,Hockey sur glace, Albert Duncanson,Canada,Men,Hockey sur glace,Or
